Timestamp,Temp,Humid,Radn,Wind_degree,Wind,Rainfall,Battery
2024-10-01 00:00:00,19.76,76.68,0,27,0.015,0,12.93
2024-10-01 00:01:00,19.76,76.93,0,27,0,0,12.93
2024-10-01 00:02:00,19.76,77.08,0,27,0,0,12.93
2024-10-01 00:03:00,19.74,77.08,0,27,0,0,12.93
2024-10-01 00:04:00,19.74,77.11,0,27,0,0,12.93
2024-10-01 00:05:00,19.73,77.06,0,27,0.015,0,12.93
2024-10-01 00:06:00,19.73,77.16,0,27,0.03,0,12.93
2024-10-01 00:07:00,19.69,76.98,0,27,0,0,12.93
2024-10-01 00:08:00,19.7,77.04,0,27,0,0,12.93
2024-10-01 00:09:00,19.73,76.91,0,27,0.045,0,12.93
2024-10-01 00:10:00,19.72,76.68,0,27,0.03,0,12.93
2024-10-01 00:11:00,19.73,76.75,0,27,0.09,0,12.93
2024-10-01 00:12:00,19.74,76.8,0,27,0,0,12.93
2024-10-01 00:13:00,19.73,76.69,0,27,0,0,12.93
2024-10-01 00:14:00,19.77,76.63,0,27,0.03,0,12.93
2024-10-01 00:15:00,19.79,76.67,0,27,0,0,12.93
2024-10-01 00:16:00,19.76,76.76,0,27,0,0,12.93
2024-10-01 00:17:00,19.76,76.72,0,27,0.015,0,12.93
2024-10-01 00:18:00,19.74,76.87,0,27,0,0,12.93
2024-10-01 00:19:00,19.76,76.86,0,27,0.015,0,12.93
2024-10-01 00:20:00,19.73,76.88,0,27,0.09,0,12.93
2024-10-01 00:21:00,19.76,76.91,0,27,0.03,0,12.89
2024-10-01 00:22:00,19.74,76.88,0,27,0,0,12.93
2024-10-01 00:23:00,19.74,76.87,0,27,0.015,0,12.93
2024-10-01 00:24:00,19.8,76.96,0,27,0.03,0,12.93
2024-10-01 00:25:00,19.77,76.6,0,27,0.285,0,12.93
2024-10-01 00:26:00,19.73,76.79,0,27,0.045,0,12.93
2024-10-01 00:27:00,19.66,77.11,0,27,0.045,0,12.93
